Process	PID	CPU	Image Type	User Name	Description	Company Name	Private Bytes History	Private Bytes	Working Set	Command Line	Start Time
chrome.exe	4996	0.07	32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		79,580 K	72,180 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.5.1232537770\690125364" /prefetch:673131151	8:07:39 AM 07/11/2014
mRemoteNG.exe	1056		32-bit	CORPORATE\agoenka	Remote Desktop			47,164 K	58,892 K	"C:\Users\agoenka\Documents\Documents\mRemoteNG\mRemoteNG.exe" 	7:45:07 AM 07/11/2014
svchost.exe	1032	< 0.01	64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		56,360 K	57,164 K	C:\windows\system32\svchost.exe -k netsvcs	7:38:26 AM 07/11/2014
procexp64.exe	11568	2.12	64-bit	CORPORATE\agoenka	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com		33,144 K	55,460 K	"C:\branches\DebugingTools\procexp.exe" 	7:16:03 PM 07/11/2014
SnagitEditor.exe	5084	0.15	32-bit	CORPORATE\agoenka	Snagit Editor	TechSmith Corporation		50,816 K	45,780 K	"C:\Program Files (x86)\TechSmith\Snagit 9\snagiteditor.exe" /X	7:38:34 AM 07/11/2014
SearchIndexer.exe	3456	< 0.01	64-bit	NT AUTHORITY\SYSTEM	Microsoft Windows Search Indexer	Microsoft Corporation		59,556 K	45,484 K	C:\windows\system32\SearchIndexer.exe /Embedding	7:40:10 AM 07/11/2014
UcMapi.exe	8852	< 0.01	64-bit	CORPORATE\agoenka	Microsoft Lync	Microsoft Corporation		14,908 K	42,832 K	"C:\Program Files\Microsoft Office\Office15\UcMapi.exe" -Embedding	2:45:57 PM 07/11/2014
chrome.exe	9580		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		38,416 K	39,040 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.36.2008154617\463289227" /prefetch:673131151	6:36:59 PM 07/11/2014
chrome.exe	8128		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		35,536 K	25,308 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.2.20775561\1807053892" /prefetch:673131151	8:07:39 AM 07/11/2014
lynchtmlconv.exe	7008		64-bit	CORPORATE\agoenka	Microsoft Lync	Microsoft Corporation		12,004 K	25,040 K	"C:\Program Files\Microsoft Office\Office15\lynchtmlconv.exe" -Embedding	2:45:12 PM 07/11/2014
chrome.exe	7120	< 0.01	32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		45,952 K	22,668 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.3.1120599154\733765168" /prefetch:673131151	8:07:39 AM 07/11/2014
Applications.CSSWorkerDotNet.exe	11924		32-bit	CORPORATE\agoenka	CSSDotNetWorker.dll	Allscripts		16,764 K	21,808 K	"C:\Program Files (x86)\Allscripts Healthcare Solutions\Touchworks Web\Touchworks Print Center\Applications.CSSWorkerDotNet.exe" 	7:12:54 PM 07/11/2014
svchost.exe	464	< 0.01	64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		16,864 K	21,272 K	C:\windows\system32\svchost.exe -k LocalService	7:38:26 AM 07/11/2014
Snagit32.exe	3384		32-bit	CORPORATE\agoenka	Snagit	TechSmith Corporation		18,496 K	20,764 K	"C:\Program Files (x86)\TechSmith\Snagit 9\Snagit32.exe" 	7:38:31 AM 07/11/2014
CcmExec.exe	5916		32-bit	NT AUTHORITY\SYSTEM	CCM Executive	Microsoft Corporation		17,108 K	20,348 K	C:\windows\SysWOW64\CCM\CcmExec.exe	7:38:36 AM 07/11/2014
svchost.exe	704		64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		16,384 K	20,000 K	C:\windows\System32\svchost.exe -k LocalSystemNetworkRestricted	7:38:26 AM 07/11/2014
lsass.exe	736	0.01	64-bit	NT AUTHORITY\SYSTEM	Local Security Authority Process	Microsoft Corporation		30,976 K	19,908 K	C:\windows\system32\lsass.exe	7:38:25 AM 07/11/2014
PGPtray.exe	4040	< 0.01	32-bit	CORPORATE\agoenka	PGP Tray	Symantec Corporation		23,132 K	19,088 K	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPtray.exe" 	7:38:31 AM 07/11/2014
svchost.exe	572	0.13	64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		23,324 K	18,844 K	C:\windows\System32\svchost.exe -k LocalServiceNetworkRestricted	7:38:26 AM 07/11/2014
audiodg.exe	11636		64-bit	NT AUTHORITY\LOCAL SERVICE	Windows Audio Device Graph Isolation 	Microsoft Corporation		16,572 K	17,008 K	C:\windows\system32\AUDIODG.EXE 0x9c8	7:21:05 PM 07/11/2014
googletalkplugin.exe	6112	< 0.01	32-bit	CORPORATE\agoenka	Hangouts Plugin	Google		10,860 K	16,276 K	"C:\Users\agoenka\AppData\Local\Google\Google Talk Plugin\googletalkplugin.exe"	6:36:50 PM 07/11/2014
taskhost.exe	2892	< 0.01	64-bit	CORPORATE\agoenka	Host Process for Windows Tasks	Microsoft Corporation		16,568 K	16,144 K	"taskhost.exe"	7:38:28 AM 07/11/2014
vpnui.exe	3932	0.21	32-bit	CORPORATE\agoenka	Cisco AnyConnect User Interface	Cisco Systems, Inc.		8,680 K	14,812 K	"C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpnui.exe" -minimized	7:38:31 AM 07/11/2014
nvxdsync.exe	1548		64-bit	NT AUTHORITY\SYSTEM	NVIDIA User Experience Driver Component	NVIDIA Corporation		10,520 K	14,692 K	"C:\Program Files\NVIDIA Corporation\Display\nvxdsync.exe"	7:38:26 AM 07/11/2014
svchost.exe	1424	< 0.01	64-bit	NT AUTHORITY\NETWORK SERVICE	Host Process for Windows Services	Microsoft Corporation		18,188 K	14,688 K	C:\windows\system32\svchost.exe -k NetworkService	7:38:26 AM 07/11/2014
svchost.exe	1212		64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		11,292 K	14,144 K	C:\windows\system32\svchost.exe -k GPSvcGroup	7:38:26 AM 07/11/2014
avp.exe	500	0.01	32-bit	NT AUTHORITY\SYSTEM	Kaspersky Anti-Virus	Kaspersky Lab		142,956 K	13,744 K	"C:\Program Files (x86)\Kaspersky Lab\Kaspersky Anti-Virus 6.0 for Windows Workstations MP4\avp.exe" -r	7:38:27 AM 07/11/2014
services.exe	724		64-bit	NT AUTHORITY\SYSTEM	Services and Controller app	Microsoft Corporation		11,020 K	13,116 K	C:\windows\system32\services.exe	7:38:25 AM 07/11/2014
AcSvc.exe	5824		32-bit	NT AUTHORITY\SYSTEM	ThinkVantage Access Connections Main Service	Lenovo		9,448 K	13,024 K	"C:\Program Files (x86)\Lenovo\Access Connections\AcSvc.exe"	7:38:36 AM 07/11/2014
notepad++.exe	1736	0.01	32-bit	CORPORATE\agoenka	Notepad++ : a free (GNU) source code editor	Don HO don.h@free.fr		23,396 K	12,848 K	"C:\Program Files (x86)\Notepad++\notepad++.exe" 	9:09:38 AM 07/11/2014
spoolsv.exe	1744	< 0.01	64-bit	NT AUTHORITY\SYSTEM	Spooler SubSystem App	Microsoft Corporation		14,772 K	12,556 K	C:\windows\System32\spoolsv.exe	7:38:27 AM 07/11/2014
TrustedInstaller.exe	4100		64-bit	NT AUTHORITY\SYSTEM	Windows Modules Installer	Microsoft Corporation		10,940 K	12,084 K	C:\windows\servicing\TrustedInstaller.exe	7:40:10 AM 07/11/2014
svchost.exe	1020		64-bit	NT AUTHORITY\NETWORK SERVICE	Host Process for Windows Services	Microsoft Corporation		10,868 K	11,872 K	C:\windows\system32\svchost.exe -k RPCSS	7:38:25 AM 07/11/2014
vpnagent.exe	1368	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VPN Agent Service	Cisco Systems, Inc.		9,212 K	11,856 K	"C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpnagent.exe"	7:38:26 AM 07/11/2014
chrome.exe	8512		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		8,996 K	10,356 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=plugin --plugin-path="C:\Users\agoenka\AppData\Roaming\Mozilla\plugins\npgoogletalk.dll" --lang=en-GB --channel="5652.34.1764374898\248647255" /prefetch:-390060480	6:36:50 PM 07/11/2014
svchost.exe	1776		64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		7,348 K	10,292 K	C:\windows\system32\svchost.exe -k LocalServiceAndNoImpersonation	7:38:27 AM 07/11/2014
SelfServicePlugin.exe	5328		32-bit	CORPORATE\agoenka	Citrix Receiver	Citrix Systems, Inc.		13,292 K	10,040 K	"C:\Program Files (x86)\Citrix\SelfServicePlugin\SelfServicePlugin.exe" 	7:38:35 AM 07/11/2014
chrome.exe	7420		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		29,456 K	9,824 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.8.2135471675\310269531" /prefetch:673131151	8:07:39 AM 07/11/2014
chrome.exe	8820		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		31,504 K	9,316 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=renderer --lang=en-GB --force-fieldtrials="BrowserBlacklist/Enabled/BrowserPreReadExperiment/100-pct-default/ChromeSuggestions/Most Likely with Kodachrome/EmbeddedSearch/Group3 pct:10c stable:pp2 prefetch_results:1 reuse_instant_search_base_page:1/ExtensionInstallVerification/Enforce/GoogleNow/Enable/OmniboxBundledExperimentV1/StandardR4/Prerender/PrerenderEnabled/PrerenderLocalPredictorSpec/LocalPredictor=Disabled/QUIC/Disabled/ShowAppLauncherPromo/ShowPromoUntilDismissed/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Dynamic-Uniformity-Trial/Group3/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_10/UMA-Uniformity-Trial-1-Percent/group_65/UMA-Uniformity-Trial-10-Percent/default/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_09/UMA-Uniformity-Trial-50-Percent/default/VoiceTrigger/Install/" --extension-process --renderer-print-preview --enable-threaded-compositing --enable-delegated-renderer --enable-software-compositing --channel="5652.4.54344301\505587132" /prefetch:673131151	8:07:39 AM 07/11/2014
Receiver.exe	4116	0.25	32-bit	CORPORATE\agoenka	Citrix Receiver Application	Citrix Systems, Inc.		8,592 K	8,800 K	"C:\Program Files (x86)\Citrix\Receiver\Receiver.exe" -autoupdate -startplugins	7:38:32 AM 07/11/2014
WmiPrvSE.exe	5608	< 0.01	64-bit	NT AUTHORITY\SYSTEM	WMI Provider Host	Microsoft Corporation		15,844 K	8,704 K	C:\windows\system32\wbem\wmiprvse.exe	7:38:35 AM 07/11/2014
WmiPrvSE.exe	6484		64-bit	NT AUTHORITY\NETWORK SERVICE	WMI Provider Host	Microsoft Corporation		4,328 K	8,416 K	C:\windows\system32\wbem\wmiprvse.exe	7:11:24 PM 07/11/2014
wmpnetwk.exe	8896		64-bit	NT AUTHORITY\NETWORK SERVICE	Windows Media Player Network Sharing Service	Microsoft Corporation		6,708 K	8,228 K	"C:\Program Files\Windows Media Player\wmpnetwk.exe"	7:44:38 AM 07/11/2014
nvvsvc.exe	1556	< 0.01	64-bit	NT AUTHORITY\SYSTEM	NVIDIA Driver Helper Service, Version 312.69	NVIDIA Corporation		7,700 K	7,816 K	C:\windows\system32\nvvsvc.exe -session -first	7:38:26 AM 07/11/2014
klnagent.exe	2628	1.32	32-bit	NT AUTHORITY\SYSTEM	Kaspersky Administration Kit Network Agent	Kaspersky Lab ZAO		17,516 K	7,732 K	"C:\Program Files (x86)\Kaspersky Lab\NetworkAgent 8\klnagent.exe"	7:38:28 AM 07/11/2014
procexp.exe	8336		32-bit	CORPORATE\agoenka	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com		2,508 K	7,600 K	"C:\branches\DebugingTools\procexp.exe" 	7:16:03 PM 07/11/2014
DbgSvc.exe	2352	0.05	64-bit	NT AUTHORITY\SYSTEM	Debug Diagnostic Service	Microsoft Corporation		7,020 K	7,184 K	"C:\Program Files\DebugDiag\DbgSvc.exe"	7:38:28 AM 07/11/2014
SynTPEnh.exe	3140	< 0.01	64-bit	CORPORATE\agoenka	Synaptics TouchPad Enhancements	Synaptics Incorporated		10,600 K	7,128 K	"\Program Files\Synaptics\SynTP\SynTPEnh.exe" 	7:38:29 AM 07/11/2014
avp.exe	3980	0.02	32-bit	CORPORATE\agoenka	Kaspersky Anti-Virus	Kaspersky Lab		5,468 K	7,128 K	"C:\Program Files (x86)\Kaspersky Lab\Kaspersky Anti-Virus 6.0 for Windows Workstations MP4\avp.exe" 	7:38:31 AM 07/11/2014
wuauclt.exe	5676		64-bit	CORPORATE\agoenka	Windows Update	Microsoft Corporation		2,252 K	7,096 K	"C:\windows\system32\wuauclt.exe"	6:34:31 PM 07/11/2014
vmware-converter.exe	3880	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware Converter Service	VMware, Inc.		19,700 K	6,640 K	"C:\Program Files (x86)\VMware\VMware vCenter Converter Standalone\vmware-converter.exe" -s "C:\ProgramData\VMware\VMware vCenter Converter Standalone\converter-server.xml"	7:38:34 AM 07/11/2014
PGPfsd.exe	5700		32-bit	CORPORATE\agoenka	PGP Filesharing Daemon	Symantec Corporation		7,256 K	6,632 K	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPfsd.exe" 	7:38:36 AM 07/11/2014
AcPrfMgrSvc.exe	2020		32-bit	NT AUTHORITY\SYSTEM	ThinkVantage Access Connections Profile Manager Service	Lenovo		5,544 K	6,540 K	"C:\Program Files (x86)\Lenovo\Access Connections\AcPrfMgrSvc.exe"	7:38:27 AM 07/11/2014
dllhost.exe	6980	< 0.01	64-bit	NT AUTHORITY\SYSTEM	COM Surrogate	Microsoft Corporation		5,772 K	6,432 K	C:\WINDOWS\SYSTEM32\DLLHOST.EXE /PROCESSID:{02D4B3F1-FD88-11D1-960D-00805FC79235}	7:40:10 AM 07/11/2014
svchost.exe	848		64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		6,244 K	6,412 K	C:\windows\system32\svchost.exe -k DcomLaunch	7:38:25 AM 07/11/2014
tpnumlkd.exe	3000		64-bit	NT AUTHORITY\SYSTEM	NumLock on screen display for ThinkPad	Lenovo Group Limited		3,764 K	6,244 K	C:\PROGRA~1\Lenovo\HOTKEY\tpnumlkd.exe	7:38:28 AM 07/11/2014
SkypeC2CAutoUpdateSvc.exe	2124		32-bit	NT AUTHORITY\SYSTEM	Updates Skype Click to Call	Microsoft Corporation		3,396 K	6,092 K	"C:\Program Files (x86)\Skype\Toolbars\AutoUpdate\SkypeC2CAutoUpdateSvc.exe" /service	7:38:27 AM 07/11/2014
rundll32.exe	3688		32-bit	CORPORATE\agoenka	Windows host process (Rundll32)	Microsoft Corporation		4,156 K	6,028 K	"C:\Windows\SysWOW64\rundll32.exe" "C:\Users\agoenka\AppData\Local\Conduit\BackgroundContainer\BackgroundContainer.dll",DllRun	7:38:30 AM 07/11/2014
AcDeskBandHlpr.exe	3340		32-bit	CORPORATE\agoenka	Access Connections Deskband Helper Module	Lenovo		5,112 K	5,980 K	"C:\Program Files (x86)\Lenovo\Access Connections\AcDeskBandHlpr.exe" -Embedding	7:38:30 AM 07/11/2014
wfcrun32.exe	5356	< 0.01	32-bit	CORPORATE\agoenka	Citrix Connection Manager	Citrix Systems, Inc.		5,836 K	5,924 K	"C:\Program Files (x86)\Citrix\ICA Client\wfcrun32.exe" -Embedding	7:38:35 AM 07/11/2014
vmware-converter.exe	4948	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware Converter Service	VMware, Inc.		15,992 K	5,712 K	"C:\Program Files (x86)\VMware\VMware vCenter Converter Standalone\vmware-converter.exe" -s "C:\ProgramData\VMware\VMware vCenter Converter Standalone\converter-worker.xml"	7:38:35 AM 07/11/2014
vmware-converter-a.exe	1268	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware Converter Service	VMware, Inc.		15,520 K	5,524 K	"C:\Program Files (x86)\VMware\VMware vCenter Converter Standalone\vmware-converter-a.exe" -s "C:\ProgramData\VMware\VMware vCenter Converter Standalone\converter-agent.xml"	7:38:34 AM 07/11/2014
lsm.exe	744		64-bit	NT AUTHORITY\SYSTEM	Local Session Manager Service	Microsoft Corporation		4,728 K	5,516 K	C:\windows\system32\lsm.exe	7:38:25 AM 07/11/2014
igfxpers.exe	3484		64-bit	CORPORATE\agoenka	persistence Module	Intel Corporation		3,728 K	5,400 K	"C:\Windows\System32\igfxpers.exe" 	7:38:30 AM 07/11/2014
vmware-authd.exe	5240	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware Authorization Service	VMware, Inc.		6,480 K	4,920 K	"C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe"	7:38:35 AM 07/11/2014
concentr.exe	3996	< 0.01	32-bit	CORPORATE\agoenka	Citrix Connection Center	Citrix Systems, Inc.		3,428 K	4,804 K	"C:\Program Files (x86)\Citrix\ICA Client\concentr.exe" /startup	7:38:31 AM 07/11/2014
nvvsvc.exe	948		64-bit	NT AUTHORITY\SYSTEM	NVIDIA Driver Helper Service, Version 312.69	NVIDIA Corporation		4,016 K	4,772 K	"C:\windows\system32\nvvsvc.exe"	7:38:25 AM 07/11/2014
