Process	CPU	Private Bytes	PID	Working Set	Description	Company Name	User Name	Command Line
   Microsoft.Alm.Shared.Remoting.RemoteContainer.dll		204,048 K	10816	190,296 K	Microsoft.Alm.Shared.Remoting.RemoteContainer.dll	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\Microsoft.Net\assembly\GAC_32\Microsoft.Alm.Shared.Remoting.RemoteContainer\v4.0_12.0.0.0__b03f5f7f11d50a3a\Microsoft.Alm.Shared.Remoting.RemoteContainer.dll" 9872 tcp://127.0.0.1:44677/e1c45055-4b81-4794-a355-137dd7654dfc
   vstest.discoveryengine.x86.exe		31,432 K	11580	7,912 K	vstest.discoveryengine.x86.exe	Microsoft Corporation	CORPORATE\agoenka	"C:\PROGRAM FILES (X86)\MICROSOFT VISUAL STUDIO 12.0\COMMON7\IDE\COMMONEXTENSIONS\MICROSOFT\TESTWINDOW\vstest.discoveryengine.x86.exe" /parentProcessId 9872
   vstest.executionengine.x86.exe		24,064 K	10228	2,408 K	vstest.executionengine.x86.exe	Microsoft Corporation	CORPORATE\agoenka	"C:\PROGRAM FILES (X86)\MICROSOFT VISUAL STUDIO 12.0\COMMON7\IDE\COMMONEXTENSIONS\MICROSOFT\TESTWINDOW\vstest.executionengine.x86.exe" /parentProcessId 9872 
  devenv.exe	0.24	635,412 K	2884	765,684 K	Microsoft Visual Studio 2013	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\Microsoft Visual Studio 12.0\Common7\IDE\devenv.exe" 
   Microsoft.Alm.Shared.Remoting.RemoteContainer.dll		59,984 K	10092	64,648 K	Microsoft.Alm.Shared.Remoting.RemoteContainer.dll	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\Microsoft.Net\assembly\GAC_32\Microsoft.Alm.Shared.Remoting.RemoteContainer\v4.0_12.0.0.0__b03f5f7f11d50a3a\Microsoft.Alm.Shared.Remoting.RemoteContainer.dll" 2884 tcp://127.0.0.1:1877/092f41f7-37cb-4c5b-8a4e-63e84e5cce24
   vstest.discoveryengine.x86.exe		35,912 K	13584	46,516 K	vstest.discoveryengine.x86.exe	Microsoft Corporation	CORPORATE\agoenka	"C:\PROGRAM FILES (X86)\MICROSOFT VISUAL STUDIO 12.0\COMMON7\IDE\COMMONEXTENSIONS\MICROSOFT\TESTWINDOW\vstest.discoveryengine.x86.exe" /parentProcessId 2884
   vstest.executionengine.x86.exe		24,320 K	2508	29,828 K	vstest.executionengine.x86.exe	Microsoft Corporation	CORPORATE\agoenka	"C:\PROGRAM FILES (X86)\MICROSOFT VISUAL STUDIO 12.0\COMMON7\IDE\COMMONEXTENSIONS\MICROSOFT\TESTWINDOW\vstest.executionengine.x86.exe" /parentProcessId 2884 
  mmc.exe	< 0.01	24,676 K	13716	39,556 K	Microsoft Management Console	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\system32\mmc.exe" "C:\windows\system32\services.msc" 
  devenv.exe	0.31	440,116 K	8816	519,184 K	Microsoft Visual Studio 2010	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\devenv.exe" "C:\branches\Main\ServerObjects\CSS\CSSMaster.sln"
   vcpkgsrv.exe		62,452 K	10796	69,628 K	Microsoft (R) Visual C++ Package Server	Microsoft Corporation	CORPORATE\agoenka	 -s {9DB04478-DF8A-44D7-9518-016C5C9F0B9A} -p 8816
   vcpkgsrv.exe		62,252 K	4440	69,796 K	Microsoft (R) Visual C++ Package Server	Microsoft Corporation	CORPORATE\agoenka	 -s {4BED20A1-4C00-48D3-86FF-F743179FB016} -p 8816
  taskmgr.exe	0.43	4,864 K	6052	15,892 K	Windows Task Manager	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\system32\taskmgr.exe" /4
  mmc.exe	< 0.01	24,164 K	9724	39,848 K	Microsoft Management Console	Microsoft Corporation	CORPORATE\agoenka	"C:\windows\system32\mmc.exe" "C:\windows\system32\services.msc" 
  procexp.exe		2,872 K	12532	7,072 K	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	CORPORATE\agoenka	"C:\branches\DebugingTools\procexp.exe" 
   procexp64.exe	7.74	34,812 K	9176	56,532 K	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	CORPORATE\agoenka	"C:\branches\DebugingTools\procexp.exe" 
igfxtray.exe		3,752 K	5660	1,564 K	igfxTray Module	Intel Corporation	CORPORATE\agoenka	"C:\Windows\System32\igfxtray.exe" 
hkcmd.exe		3,472 K	5812	1,676 K	hkcmd Module	Intel Corporation	CORPORATE\agoenka	"C:\Windows\System32\hkcmd.exe" 
igfxpers.exe		4,240 K	5204	4,208 K	persistence Module	Intel Corporation	CORPORATE\agoenka	"C:\Windows\System32\igfxpers.exe" 
fmapp.exe		2,268 K	5260	1,240 K	FMAPP Application		CORPORATE\agoenka	"C:\Program Files\CONEXANT\ForteConfig\fmapp.exe" 
TpKnrres.exe	< 0.01	2,820 K	5432	3,556 K	Microphone volume control module	Lenovo Group Limited	CORPORATE\agoenka	"C:\Program Files\Lenovo\Communications Utility\TpKnrres.exe" 
rundll32.exe	< 0.01	5,628 K	6120	6,424 K	Windows host process (Rundll32)	Microsoft Corporation	CORPORATE\agoenka	"C:\Windows\SysWOW64\rundll32.exe" "C:\Users\agoenka\AppData\Local\Conduit\BackgroundContainer\BackgroundContainer.dll",DllRun
PGPtray.exe	0.01	24,496 K	6256	17,024 K	PGP Tray	Symantec Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPtray.exe" 
 PGPcbt64.exe		2,072 K	5536	1,240 K	PGP CBT Hook 64 Bit Executable	Symantec Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPcbt64.exe" 
 PGPfsd.exe		8,944 K	6068	6,348 K	PGP Filesharing Daemon	Symantec Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPfsd.exe" 
Snagit32.exe		19,976 K	6296	13,860 K	Snagit	TechSmith Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\TechSmith\Snagit 9\Snagit32.exe" 
 TscHelp.exe		2,308 K	6688	2,952 K	TechSmith HTML Help Helper	TechSmith Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\TechSmith\Snagit 9\TSCHelp.exe" 
 SnagPriv.exe		1,608 K	6760	756 K	Snagit RPC Helper	TechSmith Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\TechSmith\Snagit 9\SnagPriv.exe" 
 SnagitEditor.exe	0.18	170,804 K	7072	34,416 K	Snagit Editor	TechSmith Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\TechSmith\Snagit 9\snagiteditor.exe" /X
  splwow64.exe		4,348 K	3168	1,032 K	Print driver host for 32bit applications	Microsoft Corporation	CORPORATE\agoenka	C:\windows\splwow64.exe 12288
vpnui.exe	0.22	10,292 K	6332	5,328 K	Cisco AnyConnect User Interface	Cisco Systems, Inc.	CORPORATE\agoenka	"C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpnui.exe" -minimized
fmstart.exe	0.32	2,844 K	6356	3,140 K	fmstart	GFI Software Ltd	CORPORATE\agoenka	"C:\Program Files (x86)\GFI\FAXmaker Client\fmstart.exe" 
ONENOTEM.EXE		2,940 K	6368	1,016 K	Send to OneNote Tool	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\ONENOTEM.EXE" /tsr
jusched.exe		2,680 K	6412	732 K	Java(TM) Update Scheduler	Oracle Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe" 
avp.exe	0.02	6,616 K	6420	8,064 K	Kaspersky Anti-Virus	Kaspersky Lab	CORPORATE\agoenka	"C:\Program Files (x86)\Kaspersky Lab\Kaspersky Anti-Virus 6.0 for Windows Workstations MP4\avp.exe" 
SynTPHelper.exe		2,144 K	7160	636 K	Synaptics Pointing Device Helper	Synaptics Incorporated	CORPORATE\agoenka	"C:\PROGRAM FILES\SYNAPTICS\SYNTP\SYNTPHELPER.EXE" 
notepad++.exe	0.03	27,888 K	8604	9,300 K	Notepad++ : a free (GNU) source code editor	Don HO don.h@free.fr	CORPORATE\agoenka	"C:\Program Files (x86)\Notepad++\notepad++.exe" 
RssControlZ0.exe	0.01	4,496 K	4820	3,228 K			CORPORATE\agoenka	"C:\Users\agoenka\AppData\Local\Temp\SLinkSW\RssControlZ0.exe"  -tryadmin
iexplore.exe	< 0.01	12,864 K	14000	18,372 K	Internet Explorer	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Internet Explorer\IEXPLORE.EXE" 
 iexplore.exe	0.34	147,776 K	11388	115,836 K	Internet Explorer	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE" SCODEF:14000 CREDAT:209921 /prefetch:2
atmgr.exe	7.52	245,540 K	8188	203,412 K	Cisco WebEx Service	Cisco WebEx LLC	CORPORATE\agoenka	 /mcstd C:\Users\agoenka\AppData\LocalLow\WebEx

Process: System Idle Process Pid: 0

Type	Name
